Date,Price,Open,High,Low,Change %,days
1/3/2000,1.0265,1.0052,1.0282,1.005,1.89%,1
1/4/2000,1.0312,1.0244,1.0347,1.0213,0.46%,2
1/5/2000,1.0316,1.0295,1.0404,1.0282,0.04%,3
1/6/2000,1.0324,1.0325,1.0419,1.0275,0.08%,4
1/7/2000,1.0292,1.0327,1.0333,1.0252,-0.31%,5
1/10/2000,1.0257,1.0288,1.0303,1.0213,-0.34%,6
1/11/2000,1.0335,1.0259,1.0342,1.0241,0.76%,7
1/12/2000,1.0312,1.0322,1.037,1.0258,-0.22%,8
1/13/2000,1.0254,1.0311,1.032,1.0237,-0.56%,9
1/14/2000,1.0128,1.0261,1.0273,1.0111,-1.23%,10
1/17/2000,1.0118,1.0128,1.0149,1.0069,-0.10%,11
1/18/2000,1.0131,1.0123,1.0143,1.0072,0.13%,12
1/19/2000,1.0122,1.0139,1.0166,1.0086,-0.09%,13
1/20/2000,1.0175,1.0137,1.0189,1.0072,0.52%,14
1/21/2000,1.0091,1.0173,1.0193,1.0049,-0.83%,15
1/24/2000,1.0078,1.0023,1.0078,0.9998,-0.13%,16
1/25/2000,1.0006,1.0076,1.0099,0.9989,-0.71%,17
1/26/2000,1.0012,1.0013,1.0057,0.9993,0.06%,18
1/27/2000,0.9885,1.0019,1.003,0.9869,-1.27%,19
1/28/2000,0.975,0.988,0.9895,0.9738,-1.37%,20
1/31/2000,0.9695,0.9779,0.9829,0.967,-0.56%,21
2/1/2000,0.9724,0.9704,0.9783,0.9663,0.30%,22
2/2/2000,0.9765,0.9717,0.9808,0.9689,0.42%,23
2/3/2000,0.9903,0.9763,0.9949,0.9709,1.41%,24
2/4/2000,0.9828,0.9909,0.9941,0.9748,-0.76%,25
2/7/2000,0.981,0.9836,0.9836,0.9754,-0.18%,26
2/8/2000,0.9858,0.9814,0.9916,0.9788,0.49%,27
2/9/2000,0.994,0.9857,0.9966,0.9851,0.83%,28
2/10/2000,0.9852,0.9942,0.996,0.983,-0.89%,29
2/11/2000,0.9869,0.9854,0.9879,0.9789,0.17%,30
2/14/2000,0.9787,0.9863,0.9922,0.9775,-0.83%,31
2/15/2000,0.9814,0.9781,0.9863,0.9764,0.28%,32
2/16/2000,0.9868,0.9811,0.9876,0.979,0.55%,33
2/17/2000,0.9879,0.9865,0.9959,0.9838,0.11%,34
2/18/2000,0.9865,0.988,0.9903,0.9807,-0.14%,35
2/21/2000,0.9874,0.9848,0.989,0.9843,0.09%,36
2/22/2000,1.004,0.9875,1.008,0.9872,1.68%,37
2/23/2000,1.003,1.0039,1.0091,1.0009,-0.10%,38
2/24/2000,0.9931,1.0036,1.0042,0.9889,-0.99%,39
2/25/2000,0.9745,0.9929,0.9929,0.9723,-1.87%,40
2/28/2000,0.9719,0.9748,0.9748,0.9392,-0.27%,41
2/29/2000,0.9647,0.9717,0.9865,0.9616,-0.74%,42
3/1/2000,0.9738,0.9647,0.977,0.9627,0.94%,43
3/2/2000,0.9644,0.9734,0.9796,0.9614,-0.97%,44
3/3/2000,0.9599,0.9647,0.9679,0.9587,-0.47%,45
3/6/2000,0.9594,0.9576,0.9672,0.9557,-0.05%,46
3/7/2000,0.9598,0.959,0.9627,0.9526,0.04%,47
3/8/2000,0.9608,0.9584,0.9634,0.9523,0.10%,48
3/9/2000,0.9664,0.9607,0.9702,0.9595,0.58%,49
3/10/2000,0.963,0.9667,0.9687,0.9597,-0.35%,50
