Date,Price,Open,High,Low,Change %,days
1/1/2020,1.1212,1.1214,1.1224,1.1206,0.00%,1
1/2/2020,1.1172,1.1212,1.1227,1.1164,-0.36%,2
1/3/2020,1.116,1.1172,1.1182,1.1125,-0.11%,3
1/6/2020,1.1195,1.1168,1.1208,1.1155,0.31%,4
1/7/2020,1.1153,1.1198,1.1199,1.1133,-0.38%,5
1/8/2020,1.1105,1.1154,1.117,1.1102,-0.43%,6
1/9/2020,1.1106,1.1105,1.1121,1.1092,0.01%,7
1/10/2020,1.1122,1.1106,1.1131,1.1085,0.14%,8
1/13/2020,1.1135,1.1125,1.1148,1.1113,0.12%,9
1/14/2020,1.1128,1.1135,1.1145,1.1103,-0.06%,10
1/15/2020,1.1151,1.113,1.1165,1.1119,0.21%,11
1/16/2020,1.1137,1.1151,1.1174,1.1128,-0.13%,12
1/17/2020,1.109,1.1137,1.1144,1.1086,-0.42%,13
1/20/2020,1.1095,1.1091,1.1103,1.1076,0.05%,14
1/21/2020,1.1084,1.1096,1.112,1.1081,-0.10%,15
1/22/2020,1.1093,1.1084,1.11,1.107,0.08%,16
1/23/2020,1.1054,1.1093,1.111,1.1037,-0.35%,17
1/24/2020,1.1025,1.1055,1.1063,1.102,-0.26%,18
1/27/2020,1.1018,1.1021,1.1039,1.101,-0.06%,19
1/28/2020,1.1022,1.102,1.1027,1.0998,0.04%,20
1/29/2020,1.1011,1.1023,1.1029,1.0992,-0.10%,21
1/30/2020,1.1032,1.101,1.104,1.1006,0.19%,22
1/31/2020,1.1094,1.1032,1.1097,1.1016,0.56%,23
2/3/2020,1.106,1.1093,1.1097,1.1036,-0.31%,24
2/4/2020,1.1044,1.106,1.1066,1.1033,-0.14%,25
2/5/2020,1.0999,1.1046,1.1049,1.0994,-0.41%,26
2/6/2020,1.098,1.0999,1.1014,1.0963,-0.17%,27
2/7/2020,1.0945,1.0983,1.0987,1.0942,-0.32%,28
2/10/2020,1.0911,1.0951,1.0959,1.0908,-0.31%,29
2/11/2020,1.0916,1.0912,1.0926,1.0891,0.05%,30
2/12/2020,1.0873,1.0916,1.0927,1.0865,-0.39%,31
2/13/2020,1.0841,1.0874,1.089,1.0834,-0.29%,32
2/14/2020,1.0832,1.0841,1.0863,1.0828,-0.08%,33
2/17/2020,1.0836,1.0832,1.0852,1.0821,0.04%,34
2/18/2020,1.0792,1.0837,1.0838,1.0785,-0.41%,35
2/19/2020,1.0806,1.0792,1.0813,1.0782,0.13%,36
2/20/2020,1.0785,1.0806,1.0822,1.0777,-0.19%,37
2/21/2020,1.0845,1.0785,1.0865,1.0784,0.56%,38
2/24/2020,1.0854,1.0841,1.0873,1.0805,0.08%,39
2/25/2020,1.0881,1.0854,1.0892,1.083,0.25%,40
2/26/2020,1.0881,1.0881,1.091,1.0855,0.00%,41
2/27/2020,1.1,1.0882,1.1007,1.0879,1.09%,42
2/28/2020,1.1026,1.1,1.1055,1.0951,0.24%,43
3/2/2020,1.1134,1.1003,1.1187,1.1003,0.98%,44
3/3/2020,1.1173,1.1133,1.1214,1.1095,0.35%,45
3/4/2020,1.1136,1.1172,1.1188,1.1095,-0.33%,46
3/5/2020,1.1241,1.1136,1.1246,1.112,0.94%,47
3/6/2020,1.1286,1.1237,1.1355,1.1211,0.40%,48
3/9/2020,1.1399,1.1388,1.1493,1.1357,1.00%,49
3/10/2020,1.1321,1.14,1.1425,1.1296,-0.69%,50
